title,release_date,popularity,original_language,overview,genre_ids,adult
Sonic the Hedgehog 3,2024-12-19,3435.809,en,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.","[28, 878, 35, 10751]",False
Kraven the Hunter,2024-12-11,2056.111,en,"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.","[28, 878, 12, 14, 53]",False
Moana 2,2024-11-21,1831.321,en,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.","[16, 12, 10751, 35]",False
Back in Action,2025-01-15,1534.22,en,"Fifteen years after vanishing from the CIA to start a family, elite spies Matt and Emily jump back into the world of espionage when their cover is blown.","[28, 35]",False
Alarum,2025-01-16,1392.625,en,"Two married spies caught in the crosshairs of an international intelligence network will stop at nothing to obtain a critical asset. Joe and Lara are agents living off the grid whose quiet retreat at a winter resort is blown to shreds when members of the old guard suspect the two may have joined an elite team of rogue spies, known as Alarum.","[28, 80, 53]",False
Sniper: The Last Stand,2025-01-21,1281.965,en,"To stop an arms dealer from unleashing a deadly superweapon, Ace sniper Brandon Beckett and Agent Zero are deployed to Costa Verde to lead a group of elite soldiers against an unrelenting militia. Taking an untested sniper under his wing, Beckett faces his newest challenge: giving orders instead of receiving them. With both time and ammo running low in a race to save humanity, the team must overcome all odds just to survive.","[28, 53]",False
Nosferatu,2024-12-25,1020.625,en,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.","[27, 14]",False
Raiders of the Lost Ark,1981-06-12,1268.732,en,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.","[12, 28]",False
Babygirl,2024-12-25,1179.554,en,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much younger intern.,[18],False
Le clitoris,2016-06-18,771.231,fr,"Women are lucky, they get to have the only organ in the human body dedicated exclusively for pleasure: the clitoris! In this humorous and instructive animated documentary, find out its unrecognized anatomy and its unknown herstory.","[16, 99]",False
Mufasa: The Lion King,2024-12-18,914.045,en,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.","[12, 10751, 16]",False
Gladiator II,2024-11-05,958.507,en,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.","[28, 12, 18]",False
Devara: Part 1,2024-09-26,910.775,te,"Devara, a fearless man from a coastal region, embarks on a perilous journey into the treacherous world of the sea to safeguard the lives of his people. Unbeknownst to him, his brother Bhaira is plotting a conspiracy against him. As events unfold, Devara passes on his legacy to his mild-mannered and timid son, Varada.","[28, 18]",False
Venom: The Last Dance,2024-10-22,913.007,en,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.","[28, 878, 12]",False
The Substance,2024-09-07,795.158,en,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.","[27, 878]",False
Werewolves,2024-12-04,802.998,en,"A year after a supermoon’s light activated a dormant gene, transforming humans into bloodthirsty werewolves and causing nearly a billion deaths, the nightmare resurfaces as the supermoon rises again. Two scientists attempt to stop the mutation but fail and must now struggle to reach one of their family homes.","[28, 27, 53]",False
Star Trek: Section 31,2025-01-15,944.67,en,Emperor Philippa Georgiou joins a secret division of Starfleet tasked with protecting the United Federation of Planets and faces the sins of her past.,"[878, 12, 28, 18, 10770]",False
The Gardener,2025-01-30,722.371,fr,"Every year the Prime Minister has a list of all kinds of troublemakers eliminated in the name of the famous Reason of State. Serge Shuster, Special Adviser to the President of the Republic, finds himself on this list, better known as the Matignon List.  Condemned to certain death and at the heart of an implacable plot and a state secret that also put his family in danger, Serge, his wife and children have only one hope left - their gardener, Léo, who hates it when « slugs » invade his garden... Especially those that want to kill innocent families.","[28, 35]",False
Elevation,2024-11-07,643.392,en,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.,"[28, 878, 53]",False
